CIDADE,ESTADO,LAVANDERIA,PERFIL,UNIDADE DE ATENDIMENTO,PREÇO A PARTIR DE,PREÇO ANUNCIADO,FRETE A PARTIR DE ,INSTALAÇÃO,PEDIDO MÍNIMO,POPULAÇÃO,STATUS,DDD,OBSERVAÇÕES
Forquilhinha,SC,L02,P01,Içara/SC,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,22.548,ativa,48,
Forquilhinha,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$19,00","R$0,00","R$50,00",22.548,ativa,48,
Garça,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",44.409,ativa,14,
Gaspar,SC,L01,P02,Blumenau/SC,"R$58,00","R$58,00",,"R$0,00","R$150,00",62.618,pausado,47,
Getulina,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",10.232,ativa,14,
Goiânia,GO,L01,P09,Goiânia/GO,"R$40,00","R$40,00","R$25,00","R$0,00",perguntar,1.555.626,inativa,62,
Goianira,GO,,,Goiânia/GO,"R$25,00","R$25,00","R$0,00",,,44.289,fazer parceria,62,
Governador Celso Ramos,SC,L01,P01,Tijucas/SC,"R$52,00","R$58,00","R$96,00","R$0,00","R$156,00",14.606,ativa,48,
Guaimbê,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",5.785,ativa,14,
Guaraci,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,11.287,pausado,17,"Taxa para tapete molhado: R$20,00"
Guaramirim,SC,,,,,,,,,45.797,fazer parceria,47,
Guarantã,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",6.675,ativa,14,
Guarujá,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",322.750,ativa,13,Acima de 2 clientes
Guarulhos,SP,L01,P07,São Paulo/SP (Leste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",1.379.182,ativa,11,
Guarulhos,SP,L02,P07,Guarulhos/SP,"R$50,00","R$50,00","R$0,00","R$0,00",perguntar,1.379.182,inativa,11,
Herculândia,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",9.588,ativa,14,
Hortolândia,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$0,00","R$0,00","R$50,00",234.259,pausado,19,
Iacri,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",6.295,ativa,14,
Ibirá,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,12.393,pausado,17,"Taxa para tapete molhado: R$20,00"
Içara,SC,L02,P01,Içara/SC,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,57.247,ativa,48,
Içara,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$14,00","R$0,00","R$50,00",57.247,ativa,48,
Icém,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,8.243,pausado,17,"Taxa para tapete molhado: R$20,00"
Ijaci,MG,L01,P01,Lavras/MG,"R$43,00","R$43,00","R$25,00","R$0,00","R$0,00",7.003,inativa,35,Frete grátis a partir do 2º tapete
Ilhabela,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",35.591,ativa,12,Acima de 2 clientes
Ilhota,SC,,,,,,,,,13.124,fazer parceria,47,
Imbituva,PR,L01,P06,Ponta Grossa/PR,"R$36,00","R$40,00",R$2/km,"R$0,00","R$50,00",32.564,ativa,42,
Indaiatuba,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$80,00","R$0,00","R$150,00",256.223,pausado,19,
Itajaí,SC,,P02,Itajaí/SC,"R$43,00","R$43,00","R$0,00","R$0,00","R$50,00",223.112,pausado,47,
Itanhaém,SP,L01,P05,Praia Grande/SP,"R$43,00","R$48,00","R$20,00","R$0,00","R$90,00",103.102,ativa,13,
Itanhaém,SP,L02,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",103.102,ativa,13,Acima de 2 clientes
Itapecerica da Serra,SP,L01,"P08, P10, P16",Embu das Artes/SP,"R$35,00","R$39,00","R$35,00","R$12,00",perguntar,177.662,ativa,11,até 12km
Itapema,SC,L02,P02,Tijucas/SC,"R$52,00","R$58,00","R$58,00","R$0,00","R$156,00",67.338,ativa,47,
Itapema,SC,L01,P02,Itapema/SC,"R$45,00","R$50,00","R$0,00","R$0,00","R$50,00",67.338,ativa,47,
Itaperuçu,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",29.493,inativa,41,
Itapevi,SP,L01,"P08, P10, P16",Barueri/SP,"R$26,00","R$35,00","A partir de 8km do CEP 06447-190, acrescentar R$3,00 no m²","R$0,00",perguntar,240.961,ativa,11,
Itapevi,SP,L02,"P08, P10, P16",São Paulo/SP (Oeste),"R$27,00","R$39,00","R$48,00","R$12,00","R$50,00",279.704,ativa,11,
Itapevi,SP,L03,"P08, P10, P16",Osasco/SP,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,240.961,ativa,11,
Itapira,SP,L01,P10,Mogi Guaçu/SP,"R$28,00","R$28,00","R$35,00","R$12,00",perguntar,75.234,inativa,19,
Itaquaquecetuba,SP,L01,P07,São Paulo/SP (Leste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",375.011,ativa,11,
Itatiba,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$0,00","R$0,00","R$50,00",122.581,pausado,19,
Itu,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$80,00","R$0,00","R$150,00",175.568,pausado,11,
Jacareí,SP,L01,"P11, P14",São José dos Campos/SP,"R$50,00","R$56,00","R$0,00","R$0,00","R$120,00",235.416,ativa,12,
Jaci,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,7.322,pausado,17,"Taxa para tapete molhado: R$20,00"
Jandira,SP,L01,"P08, P10, P16",Barueri/SP,"R$26,00","R$35,00","A partir de 8km do CEP 06447-190, acrescentar R$3,00 no m²","R$0,00",perguntar,126.356,ativa,11,
Jandira,SP,L02,"P08, P10, P16",Osasco/SP,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,126.356,ativa,11,
Jaraguá do Sul,SC,,,,,,,,,181.173,fazer parceria,47,
Joinville,SC,L01,P02,Joinville/SC,"R$50,00","R$56,00","A partir de 9km do CEP 89221-585, R$15,00","R$0,00",3m² ou 3 edredons,604.708,ativa,47,
Julio Mesquita,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",4.776,ativa,14,
Jussara,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,7.041,fazer parceria,44,
Lagoa Dourada,MG,L01,,São João Del Rei/MG,"R$36,00","R$36,00","R$70,00","R$0,00","R$0,00",12.769,inativa,32,
Lapa,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",48.410,inativa,41,
Lavras,MG,L01,P01,Lavras/MG,"R$43,00","R$43,00","R$0,00","R$0,00","R$0,00",104.761,inativa,35,
Lins,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",78.503,ativa,14,
Louveira,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$60,00","R$0,00","R$50,00",49.993,pausado,19,
Mandaguaçu,PR,L01,P06,Maringá/PR,"R$38,00","R$43,00","R$0,00","R$0,00","R$120,00",23.100,ativa,44,
Mandirituba,PR,,P06,Piraquara/PR,"R$58,00","R$58,00","R$0,00","R$0,00","R$25,00",27.750,inativa,41,
Maracajá,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$28,00","R$0,00","R$50,00",7.461,ativa,48,
Marialva,PR,L01,P06,Maringá/PR,"R$38,00","R$43,00","R$0,00","R$0,00","R$120,00",35.804,ativa,44,
Marília,SP,L01,P11,Marília/SP,"R$30,00","R$34,00","R$0,00","R$0,00","R$50,00",33.000,ativa,14,Distrito de Dirceu: R$40/m²
Maringá,PR,L01,P06,Maringá/PR,"R$38,00","R$43,00","R$0,00","R$0,00","R$100,00",403.063,ativa,44,Iguatemi: pedido mínimo R$120
Mauá,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$35,00","R$12,00","R$50,00",447.552,ativa,11,
Meleiro,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$39,00","R$0,00","R$50,00",6.989,ativa,48,
Mirassol,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,26.768,pausado,17,"Taxa para tapete molhado: R$20,00"
Mirassolândia,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,4.919,pausado,17,"Taxa para tapete molhado: R$20,00"
Mogi das Cruzes,SP,L01,P07,Mogi das Cruzes/SP,"R$33,00","R$33,00","R$0,00","R$0,00",perguntar,450.785,pausado,11,
Mogi Mirim,SP,L01,P10,Mogi Guaçu/SP,"R$28,00","R$28,00","R$35,00","R$12,00",perguntar,94.098,inativa,19,
Mogi-Guaçu,SP,L01,P10,Mogi Guaçu/SP,"R$28,00","R$28,00","R$35,00","R$12,00",perguntar,154.146,inativa,19,
Mongaguá,SP,L01,P05,Praia Grande/SP,"R$43,00","R$48,00","R$0,00","R$0,00","R$90,00",57.648,ativa,13,
Mongaguá,SP,L02,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",57.648,ativa,13,Acima de 2 clientes
Monte Aprazível,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,25.373,pausado,17,"Taxa para tapete molhado: R$20,00"
Monte Mor,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$0,00","R$0,00","R$50,00",60.754,pausado,19,
Morro da Fumaça,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$23,00","R$0,00","R$50,00",17.947,ativa,48,
Navegantes,SC,,P02,Itajaí/SC,"R$43,00","R$43,00","R$0,00","R$0,00","R$50,00",83.626,pausado,47,
Nazareno,MG,L01,P01,São João Del Rei/MG,"R$36,00","R$40,00","R$100,00","R$0,00","R$0,00",8.179,ativa,32,
Neves Paulista,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,8.923,pausado,17,"Taxa para tapete molhado: R$20,00"
Nova Aliança,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,7.068,pausado,17,"Taxa para tapete molhado: R$20,00"
Nova Granada,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,21.689,pausado,17,"Taxa para tapete molhado: R$20,00"
Nova Odessa,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$0,00","R$0,00","R$50,00",60.956,pausado,19,
Nova Trento,SC,L01,P01,Tijucas/SC,"R$52,00","R$58,00","R$85,00","R$0,00","R$156,00",14.782,ativa,48,
Nova Veneza,SC,L02,P01,Içara/SC,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,13.309,ativa,48,
Nova Veneza,SC,L01,P01,Criciúma/SC,"R$42,00","R$47,00","R$18,00","R$0,00","R$50,00",13.309,ativa,48,
Olímpia,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,55.130,pausado,17,"Taxa para tapete molhado: R$20,00"
Onda Verde,SP,L01,P11,São José do Rio Preto/SP,"R$28,00","R$28,00","R$0,00","R$0,00",perguntar,4.422,pausado,17,"Taxa para tapete molhado: R$20,00"
Oriente,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",6.542,ativa,14,
Osasco,SP,L01,"P08, P10, P16",Barueri/SP,"R$26,00","R$35,00","A partir de 8km do CEP 06447-190, acrescentar R$3,00 no m²","R$0,00",perguntar,701.428,ativa,11,
Osasco,SP,L02,"P08, P10, P16",São Paulo/SP (Oeste),"R$27,00","R$39,00","R$40,00","R$12,00","R$50,00",701.428,ativa,11,
Osasco,SP,L03,"P08, P10, P16",Osasco/SP,"R$50,00","R$56,00","R$0,00","R$0,00",perguntar,701.428,ativa,11,
Osvaldo Cruz,SP,L01,P11,Marília/SP,"R$40,00","R$45,00","R$0,00","R$0,00","R$50,00",33.000,ativa,14,
Paiçandu,PR,L01,P06,Maringá/PR,"R$38,00","R$43,00","R$0,00","R$0,00","R$120,00",41.773,ativa,44,
Palhoça,SC,L01,P01,Florianópolis/SC,"R$60,00","R$67,00","R$0,00","R$0,00",perguntar,137.334,ativa,48,
Palmeira,PR,L01,P06,Ponta Grossa/PR,"R$36,00","R$40,00",R$2/km,"R$0,00","R$50,00",33.757,ativa,42,
Paraíso do Norte,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,14.023,fazer parceria,44,
Paranaguá,PR,,,Paranaguá/PR,"R$35,00","R$35,00","R$0,00",,,156.174,fazer parceria,41,
Paranavaí,PR,,,Cianorte/PR,"R$25,00","R$25,00","R$15,00",,,88.922,fazer parceria,44,
Paulínia,SP,L01,P10,Campinas/SP,"R$36,00","R$36,00","R$0,00","R$0,00","R$50,00",112.003,pausado,19,
Penha,SC,,P02,Itajaí/SC,"R$43,00","R$43,00","R$0,00","R$0,00","R$50,00",33.284,pausado,47,
Peruíbe,SP,L01,P05,São Paulo/SP (ABCDM e Litoral),"R$27,00","R$39,00","R$80,00","R$12,00","R$50,00",69.001,ativa,13,Acima de 2 clientes
Pinhais,PR,,P06,Piraquara/PR,"R$50,00","R$50,00","R$0,00","R$0,00","R$25,00",133.490,inativa,41,
Pinhais,PR,L01,P06,Pinhais/PR,"R$55,00","R$62,00","R$0,00","R$0,00",perguntar,133.490,ativa,41,
Pinhais,PR,L02,P06,Curitiba/PR,"R$35,00","R$39,00","R$0,00","R$0,00","R$120,00",133.490,ativa,41,Somente em Alphaville Graciosa e Pineville
Piraí do Sul,PR,L01,P06,Ponta Grossa/PR,"R$36,00","R$40,00",R$2/km,"R$0,00","R$50,00",25.291,ativa,42,
